Name,Position,Height,Weight,Age
Ryan Kelly,F,83,230,22
Marcin Gortat,C,83,240,29
Channing Frye,F,83,245,30
DeMarcus Cousins,C,83,270,23
Jason Thompson,F,83,250,27
Cole Aldrich,C,83,245,24
Colton Iverson,C,84,255,24
Kelly Olynyk,C,84,238,22
Brook Lopez,C,84,265,25
Andrea Bargnani,C,84,255,27
Earl Barron,C,84,250,32
Jonas Valanciunas,C,84,257,21
Aaron Gray,C,84,270,28
Andrew Bynum,C,84,285,25
Tyler Zeller,C,84,250,23
Miroslav Raduljica,C,84,240,25
Johan Petro,C,84,247,27
Cody Zeller,F,84,230,20
DeSagana Diop,C,84,280,31
Brendan Haywood,C,84,263,33
Justin Hamilton,C,84,260,23
Greg Oden,C,84,285,25
Fab Melo,C,84,255,23
Dirk Nowitzki,F,84,245,35
Omer Asik,C,84,255,27
Donatas Motiejunas,F,84,222,23
Kosta Koufos,C,84,265,24
Jeff Withey,C,84,235,23
Jason Smith,F,84,240,27
JaVale McGee,C,84,252,25
Steven Adams,C,84,250,20
Robin Lopez,C,84,255,25
Andris Biedrins,C,84,240,27
Andrew Bogut,C,84,260,28
Byron Mullens,C,84,275,24
Ryan Hollins,C,84,240,28
Chris Kaman,C,84,265,31
Pau Gasol,F,84,250,33
Robert Sacre,C,84,263,24
Viacheslav Kravtsov,C,84,260,26
Tyson Chandler,C,85,235,30
Spencer Hawes,C,85,245,25
Marc Gasol,C,85,265,28
Timofey Mozgov,C,85,250,27
Meyers Leonard,C,85,250,21
Rudy Gobert,C,85,235,21
Alex Len,C,85,255,20
Roy Hibbert,C,86,278,26
Hasheem Thabeet,C,87,263,26
