rank,movie,boxoffice,in_millions
389,"The Ring (2002)",128579698,128.579698
390,"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)",128505958,128.505958
391,"Close Encounters of the Third Kind (1977)",128300000,128.3
392,"Kingsman: The Secret Service (2014)",128248205,128.248205
393,"Robots (2005)",128200012,128.200012
394,"Coming to America (1988)",128152301,128.152301
395,"Crouching Tiger, Hidden Dragon (2000)",128067808,128.067808
396,"Into the Woods (2014)",127997349,127.997349
397,"Shutter Island (2010)",127968405,127.968405
398,"Rocky IV (1985)",127900000,127.9
399,"Enchanted (2007)",127706877,127.706877
400,"The Curious Case of Benjamin Button (2008)",127490802,127.490802
401,"Sweet Home Alabama (2002)",127214072,127.214072
402,"Dumb & Dumber (1994)",127175354,127.175354
403,"2 Fast 2 Furious (2003)",127083765,127.083765
404,"Super 8 (2011)",126975169,126.975169
405,"The World Is Not Enough (1999)",126930660,126.93066
406,"My Best Friend's Wedding (1997)",126805112,126.805112
407,"Smokey and the Bandit (1977)",126737428,126.737428
408,"Sleepless in Seattle (1993)",126670704,126.670704
409,"Bee Movie (2007)",126597121,126.597121
410,"Lucy (2014)",126546825,126.546825
411,"Anchorman 2: The Legend Continues (2013)",126527201,126.527201
412,"Prometheus (2012)",126464904,126.464904
413,"Mr. Deeds (2002)",126203320,126.20332
414,"Safe House (2012)",126149655,126.149655
415,"The Truman Show (1998)",125603360,125.60336
416,"Erin Brockovich (2000)",125548685,125.548685
417,"Ocean's Twelve (2004)",125531634,125.531634
418,"Tomorrow Never Dies (1997)",125332007,125.332007
419,"Terminator Salvation (2009)",125320003,125.320003
420,"Charlie's Angels (2000)",125305545,125.305545
421,"Lone Survivor (2013)",125069696,125.069696
422,"The Vow (2012)",125014030,125.01403
423,"Life of Pi (2012)",124976634,124.976634
424,"Cloudy with a Chance of Meatballs (2009)",124870275,124.870275
425,"The Fault in Our Stars (2014)",124868837,124.868837
426,"The Devil Wears Prada (2006)",124732962,124.732962
427,"Something's Gotta Give (2003)",124590960,124.59096
428,"Traffic (2000)",124107476,124.107476
429,"City Slickers (1991)",124033791,124.033791
430,"The Birdcage (1996)",123986682,123.986682
431,"Good Morning, Vietnam (1987)",123922370,123.92237
432,"Nutty Professor II: The Klumps (2000)",123307945,123.307945
433,"Rango (2011)",123207194,123.207194
434,"Rocky III (1982)",122823200,122.8232
435,"G.I. Joe: Retaliation (2013)",122512052,122.512052
436,"Clear and Present Danger (1994)",122012710,122.01271
437,"The Hunt for Red October (1990)",122012643,122.012643
438,"The Bodyguard (1992)",121945720,121.94572
439,"Wayne's World (1992)",121697350,121.69735
440,"The Bourne Identity (2002)",121468960,121.46896
441,"Superbad (2007)",121463226,121.463226
442,"Speed (1994)",121248145,121.248145
443,"50 First Dates (2004)",120776832,120.776832
444,"Mulan (1998)",120618403,120.618403
445,"Inglourious Basterds (2009)",120523073,120.523073
446,"Seabiscuit (2003)",120147445,120.147445
447,"Four Christmases (2008)",120136047,120.136047
448,"Van Helsing (2004)",120025245,120.025245
449,"The Mask (1994)",119938730,119.93873
450,"Cloudy with a Chance of Meatballs 2 (2013)",119793567,119.793567
451,"I Now Pronounce You Chuck & Larry (2007)",119684970,119.68497
452,"Hook (1991)",119654900,119.6549
453,"Walk the Line (2005)",119518352,119.518352
454,"Blazing Saddles (1974)",119500000,119.5
455,"G-Force (2009)",119420252,119.420252
456,"Total Recall (1990)",119412921,119.412921
457,"On Golden Pond (1981)",119285432,119.285432
458,"The Other Guys (2010)",119219978,119.219978
459,"Fahrenheit 9/11 (2004)",119078393,119.078393
460,"Hairspray (2007)",118823091,118.823091
461,"The Break-Up (2006)",118683135,118.683135
462,"Lemony Snicket's A Series of Unfortunate Events (2004)",118627117,118.627117
463,"Back to the Future Part II (1989)",118500000,118.5
464,"The Sum of All Fears (2002)",118471320,118.47132
465,"Salt (2010)",118311368,118.311368
466,"Blades of Glory (2007)",118153533,118.153533
467,"Basic Instinct (1992)",117727224,117.727224
468,"Now You See Me (2013)",117698894,117.698894
469,"Big Momma's House (2000)",117559438,117.559438
470,"Die Hard 2 (1990)",117541000,117.541
471,"Horrible Bosses (2011)",117528646,117.528646
472,"Rocky (1976)",117235247,117.235247
473,"Jackass 3D (2010)",117224271,117.224271
474,"Ocean's Thirteen (2007)",117144465,117.144465
475,"The Wolf of Wall Street (2013)",116866727,116.866727
476,"Double Jeopardy (1999)",116735231,116.735231
477,"8 Mile (2002)",116724075,116.724075
478,"S.W.A.T. (2003)",116643346,116.643346
479,"Lee Daniels' The Butler (2013)",116631310,116.63131
480,"Green Lantern (2011)",116593191,116.593191
481,"Notting Hill (1999)",116006080,116.00608
482,"The Towering Inferno (1974)",116000000,116
483,"Ghost Rider (2007)",115802596,115.802596
484,"You've Got Mail (1998)",115731542,115.731542
485,"Remember the Titans (2000)",115648585,115.648585
486,"District 9 (2009)",115646235,115.646235
487,"Unbroken (2014)",115603980,115.60398
488,"The Karate Kid, Part II (1986)",115103979,115.103979
489,"American Graffiti (1973)",115000000,115
490,"Big (1988)",114968774,114.968774
491,"Dodgeball: A True Underdog Story (2004)",114324072,114.324072
492,"The Village (2004)",114195633,114.195633
493,"Bolt (2008)",114053579,114.053579
494,"Wild Wild West (1999)",113745408,113.745408
495,"Night at the Museum: Secret of the Tomb (2014)",113733726,113.733726
496,"Magic Mike (2012)",113709992,113.709992
497,"The Addams Family (1991)",113502246,113.502246
498,"The Patriot (2000)",113330342,113.330342
499,"The Bourne Legacy (2012)",113165635,113.165635
500,"The Pacifier (2005)",113006880,113.00688
501,"Dr. Dolittle 2 (2001)",112950721,112.950721
502,"It's Complicated (2009)",112703470,112.70347
503,"Spy Kids (2001)",112692062,112.692062
504,"Ghostbusters II (1989)",112494738,112.494738
505,"Face/Off (1997)",112225777,112.225777
506,"The Hangover Part III (2013)",112186625,112.186625
507,"One Flew Over the Cuckoo's Nest (1975)",112000000,112
508,"Twins (1988)",111936400,111.9364
509,"Spy Kids 3-D: Game Over (2003)",111760631,111.760631
510,"Doctor Zhivago (1965)",111722000,111.722
511,"Enemy of the State (1998)",111544445,111.544445
512,"Mr. Peabody & Sherman (2014)",111505642,111.505642
513,"The Last Samurai (2003)",111110575,111.110575
