rank,movie,boxoffice,in_millions
167,"Ice Age: The Meltdown (2006)",195329763,195.329763
168,"Madagascar (2005)",193136719,193.136719
169,"Toy Story (1995)",191796233,191.796233
170,"22 Jump Street (2014)",191616238,191.616238
171,"Cars 2 (2011)",191450875,191.450875
172,"Twilight (2008)",191449475,191.449475
173,"Teenage Mutant Ninja Turtles (2014)",190871240,190.87124
174,"Men in Black II (2002)",190418803,190.418803
175,"Wreck-It Ralph (2012)",189412677,189.412677
176,"Interstellar (2014)",187991439,187.991439
177,"Gladiator (2000)",187670866,187.670866
178,"Sherlock Holmes: A Game of Shadows (2011)",187573200,187.5732
179,"The Croods (2013)",187165546,187.165546
180,"The Day After Tomorrow (2004)",186739919,186.739919
181,"Mr. & Mrs. Smith (2005)",186336103,186.336103
182,"Snow White and the Seven Dwarfs (1937)",184925485,184.925485
183,"Dances with Wolves (1990)",184208848,184.208848
184,"Batman Forever (1995)",184031112,184.031112
185,"The Fugitive (1993)",183875760,183.87576
186,"Pitch Perfect 2 (2015)",183436380,183.43638
187,"Ocean's Eleven (2001)",183405771,183.405771
188,"Mission: Impossible - Rogue Nation (2015)",183188977,183.188977
189,"The Simpsons Movie (2007)",183132370,183.13237
190,"What Women Want (2000)",182805123,182.805123
191,"The Perfect Storm (2000)",182618434,182.618434
192,"Lincoln (2012)",182204440,182.20444
193,"Liar Liar (1997)",181395380,181.39538
194,"Grease (1978)",181360000,181.36
195,"Jurassic Park III (2001)",181166115,181.166115
196,"Thor (2011)",181015141,181.015141
197,"Mission: Impossible (1996)",180965237,180.965237
198,"Planet of the Apes (2001)",180011740,180.01174
199,"Madagascar: Escape 2 Africa (2008)",179982968,179.982968
200,"X-Men Origins: Wolverine (2009)",179883016,179.883016
201,"Indiana Jones and the Temple of Doom (1984)",179870271,179.870271
202,"Top Gun (1986)",179767866,179.767866
203,"Men in Black 3 (2012)",179020854,179.020854
204,"Pretty Woman (1990)",178406268,178.406268
205,"Hitch (2005)",177575142,177.575142
206,"Home (2015)",177343675,177.343675
207,"Night at the Museum: Battle of the Smithsonian (2009)",177243721,177.243721
208,"Tootsie (1982)",177200000,177.2
209,"How to Train Your Dragon 2 (2014)",176997107,176.997107
210,"Rise of the Planet of the Apes (2011)",176740650,176.74065
211,"Captain America: The First Avenger (2011)",176636816,176.636816
212,"The Polar Express (2004)",176610096,176.610096
213,"The Karate Kid (2010)",176591618,176.591618
214,"There's Something About Mary (1998)",176483808,176.483808
215,"Ice Age (2002)",176387405,176.387405
216,"The Bourne Supremacy (2004)",176049130,176.04913
217,"Crocodile Dundee (1986)",174635000,174.635
218,"Home Alone 2: Lost in New York (1992)",173585516,173.585516
219,"Elf (2003)",173381405,173.381405
220,"Ant-Man (2015)",173188700,173.1887
221,"National Treasure (2004)",173005002,173.005002
222,"Rain Man (1988)",172825435,172.825435
223,"Air Force One (1997)",172620724,172.620724
224,"Apollo 13 (1995)",172071312,172.071312
225,"TRON: Legacy (2010)",172051787,172.051787
226,"The Matrix (1999)",171383253,171.383253
227,"Tarzan (1999)",171085177,171.085177
228,"True Grit (2010)",171031347,171.031347
229,"A Beautiful Mind (2001)",170708996,170.708996
230,"Chicago (2002)",170684505,170.684505
231,"The Help (2011)",169705587,169.705587
232,"Bridesmaids (2011)",169076745,169.076745
233,"Quantum of Solace (2008)",168368427,168.368427
234,"Wild Hogs (2007)",168213584,168.213584
235,"3 Men and a Baby (1987)",167780960,167.78096
236,"Gone Girl (2014)",167735396,167.735396
237,"Casino Royale (2006)",167007184,167.007184
238,"Meet the Parents (2000)",166225040,166.22504
239,"Fifty Shades of Grey (2015)",166147885,166.147885
240,"2012 (2009)",166112167,166.112167
241,"Robin Hood: Prince of Thieves (1991)",165500000,165.5
242,"Kung Fu Panda 2 (2011)",165230261,165.230261
243,"Hannibal (2001)",165091464,165.091464
244,"Catch Me If You Can (2002)",164435221,164.435221
245,"The Proposal (2009)",163947053,163.947053
246,"Big Daddy (1999)",163479795,163.479795
247,"The Sound of Music (1965)",163214286,163.214286
248,"Clash of the Titans (2010)",163192114,163.192114
249,"Batman Returns (1992)",162831698,162.831698
250,"Django Unchained (2012)",162804648,162.804648
251,"A Bug's Life (1998)",162792677,162.792677
252,"The Pursuit of Happyness (2006)",162586036,162.586036
253,"The SpongeBob Movie: Sponge Out of Water (2015)",162495848,162.495848
254,"Grown Ups (2010)",162001186,162.001186
255,"The Waterboy (1998)",161487252,161.487252
256,"Ice Age: Continental Drift (2012)",161317423,161.317423
257,"Shark Tale (2004)",160762022,160.762022
258,"Die Another Day (2002)",160201106,160.201106
259,"The Sting (1973)",159600000,159.6
